id,x,y,pd,zipcode
1379074,-9760409.28,5157932.51,20,60640
2095551,-9748208.33,5121589.97,4,60617
2263446,-9749823.0,5119480.1,4,60617
1831106,-9761346.33,5129026.85,8,60629
556854,-9756809.57,5153944.7,19,
1252761,-9771655.06,5154470.42,16,60619
2030999,-9758161.46,5119492.82,22,60620
872424,-9757531.88,5139798.79,4,60608
1378175,-9761149.86,5157648.21,20,60625
432666,-9761226.54,5151916.87,19,60618
2310489,-9745564.8,5109929.13,4,60633
1024899,-9768685.02,5151001.77,25,60641
1401247,-9761105.8,5161761.25,,60645
78155,-9759512.13,5148004.71,14,60622
2144444,-9753558.07,5120279.8,6,60619
1152672,-9769640.08,5155678.38,16,60630
1093360,-9766428.81,5156211.49,17,60630
1806408,-9759599.65,5130480.78,9,60609
215121,-9762863.58,5142873.11,11,60612
777807,-9764985.21,5139763.13,10,60623
1378617,-9760182.68,5157940.39,20,60640
410413,-9758058.93,5151700.98,19,60657
1180555,-9766479.4,5153072.72,17,60641
1624593,-9749825.19,5130828.04,1,60615
1183656,-9768578.7,5153431.5,16,60641
22189,-9756959.62,5148344.65,18,60614
2373601,-9759407.69,5118437.55,22,60643
2264672,-9748327.96,5118502.42,4,60617
1144546,-9770853.46,5157124.44,16,60630
2493382,-9770498.19,5129856.16,8,60638
2030604,-9757852.9,5119338.74,22,60620
1791892,-9756605.31,5122780.01,6,60620
2273510,-9751966.62,5109878.56,5,60827
886018,-9759987.28,5138486.82,10,60608
1515963,-9762358.75,5133531.39,9,60632
2284736,-9759605.14,5113842.94,,60643
2409271,-9751853.73,5109352.99,5,60827
992235,-9754410.3,5139351.39,1,60616
2303817,-9747053.16,5109418.82,4,60633
2326513,-9745334.78,5116550.69,4,60617
2474155,-9766243.83,5122320.41,8,60652
1431529,-9763640.77,5163319.48,15,60645
2176697,-9756635.29,5116198.03,22,60603
1145734,-9768194.28,5156352.79,16,60630
1437785,-9760199.85,5163804.89,24,60626
341063,-9767607.15,5144592.05,11,60644
2150480,-9752638.38,5121725.44,6,60619
48106,-9754443.74,5147020.29,18,60610
1218280,-9771914.19,5159757.73,16,60646
1733642,-9755177.53,5126272.88,25,60621
1439625,-9760559.52,5163876.8,24,60645
902580,-9759218.85,5136398.29,9,60608
1597840,-9752727.58,5131756.74,2,60615
521515,-9757077.01,5152021.94,,60657
1432137,-9762510.01,5163727.23,24,60645
1849166,-9762050.94,5128761.65,8,60629
1371001,-9762538.39,5159115.54,20,60659
151274,-9760628.39,5146634.37,14,60622
1534801,-9761060.04,5129259.92,8,
1460929,-9767547.61,5133467.19,8,60638
2292874,-9755659.62,5111605.76,5,60628
2135863,-9753020.41,5120059.67,6,60619
1592787,-9752875.97,5132323.14,2,60615
607471,-9770665.61,5145498.2,15,60651
1767998,-9755329.29,5125229.16,7,60621
11085,-9755868.89,5146575.88,18,60615
2085129,-9746767.81,5123172.96,4,
875981,-9759415.34,5139669.03,12,60608
706480,-9772015.55,5151111.17,25,60634
794369,-9763816.45,5138594.42,10,60623
344543,-9767664.05,5143506.67,11,60644
2495144,-9770183.34,5129554.71,8,60638
84925,-9760046.74,5147992.04,14,60622
662417,-9770210.49,5149968.1,25,60639
444787,-9761503.4,5149440.39,14,
847462,-9757954.85,5142455.75,12,60607
535910,-9760120.2,5153148.34,19,60613
624392,-9768890.72,5144112.11,15,60644
1720338,-9757251.23,5127305.19,7,60621
2414178,-9763124.06,5123691.22,8,60652
1136891,-9769700.64,5157085.46,16,60630
857440,-9756119.69,5141220.72,1,60607
1201234,-9768044.6,5159681.08,17,60646
174044,-9763638.55,5145075.63,11,60624
1261419,-9775516.72,5161282.21,,60631
141570,-9756909.85,5143725.31,12,60607
2299948,-9750118.82,5120598.32,4,60619
849932,-9757331.83,5141286.62,12,60607
130162,-9758809.27,5144572.02,12,60642
717203,-9773058.75,5151338.71,25,60634
643056,-9766914.26,5142703.79,11,60624
620028,-9768720.16,5144207.76,15,60644
1481840,-9765400.68,5134466.73,8,60632
624455,-9769459.31,5144356.75,15,60644
476315,-9765556.24,5150477.72,25,60647
2291060,-9755914.65,5111316.37,5,
216134,-9762446.54,5146448.28,12,60622
1478333,-9764516.14,5131676.3,8,60632
2317910,-9744515.47,5113993.36,8,
2337934,-9757627.21,5155594.61,19,60640
498147,-9764427.48,5151501.15,14,60618
96772,-9755225.31,5143532.74,1,60602
2116837,-9746281.21,5118142.71,4,60617
421513,-9759331.5,5151948.73,19,60657
2156123,-9754664.09,5118905.32,5,60628
8624,-9755294.99,5147883.37,18,60614
2204445,-9754167.39,5115414.23,,60628
763240,-9763326.72,5139089.32,10,60623
1667027,-9750138.63,5128154.9,3,60637
483800,-9766446.13,5150465.08,25,60639
2050978,-9759602.95,5123253.72,15,
275113,-9767022.76,5147871.92,25,60639
1301779,-9763377.09,5159542.54,24,60659
274159,-9766093.94,5147806.66,25,60660
664463,-9770448.53,5150410.67,25,60639
1355168,-9775548.75,5152775.97,16,60634
262938,-9765566.91,5145850.19,11,60651
2360447,-9759716.09,5164416.47,24,60626
368676,-9765795.28,5142831.78,11,60624
2193126,-9757083.59,5114256.46,22,60657
1220406,-9771306.45,5162613.74,16,60646
492039,-9765831.18,5149472.47,25,60633
2298640,-9754622.37,5111249.76,5,60628
858782,-9757763.31,5140314.2,12,
1911111,-9751537.62,5127122.05,3,60637
2384670,-9761004.87,5113789.83,22,60655
1775938,-9756508.79,5124652.21,20,60620
9695,-9755141.89,5147766.28,18,60614
2300851,-9750021.8,5120020.91,,60619
2509842,-9769626.18,5129525.17,8,60638
2121434,-9745539.06,5120435.73,4,60617
970075,-9757479.12,5137598.5,9,60608
2131235,-9745630.69,5122479.58,4,60617
1682798,-9757016.61,5131144.32,9,60609
1019284,-9766430.1,5152584.7,17,60641
2314395,-9744933.5,5108139.04,4,60633
511894,-9756962.75,5151877.37,19,60657
2521685,-9769868.75,5127529.33,8,60638
2353881,-9758106.83,5158530.76,20,60660
361163,-9765146.63,5143319.61,,60624
1246256,-9774010.3,5160862.97,16,60631
1470265,-9765310.06,5130652.32,8,60632
2355208,-9758375.43,5161565.44,24,60618
1134124,-9770081.93,5157680.95,16,60630
2433128,-9764732.58,5122188.99,8,60652
1536050,-9760939.42,5129992.43,8,60631
1008781,-9756086.15,5137983.55,9,60616
2221894,-9753578.96,5113230.14,5,60628
2081470,-9747702.4,5123543.15,4,60617
1006040,-9753877.89,5136592.66,2,60616
1479782,-9764807.56,5132059.99,8,60632
1949170,-9749490.9,5122345.5,4,60617
1665873,-9750325.53,5127175.08,3,60637
1769873,-9754938.19,5125203.21,7,60621
608373,-9769591.57,5145655.72,15,60651
1087912,-9764136.51,5153972.0,17,60618
2213436,-9755625.69,5112848.17,5,60628
2349799,-9757247.12,5156918.43,20,60640
2226783,-9754069.21,5115513.86,5,60628
2521136,-9770446.08,5127469.4,8,60638
1966209,-9758028.58,5123397.74,6,60620
1393458,-9759475.46,5161534.44,24,60626
254434,-9764985.62,5147067.74,25,60651
95881,-9755140.3,5142543.75,1,60605
2447019,-9761100.65,5126095.6,8,60629
2198380,-9758491.94,5116162.19,22,60643
2430962,-9765104.72,5121959.28,,60652
1890095,-9752613.3,5124989.49,3,60619
2265973,-9748596.99,5119062.27,4,60617
2419436,-9763934.23,5125732.49,,60629
678373,-9769172.84,5142110.04,15,60644
330800,-9767489.33,5149252.75,25,60639
199725,-9762872.66,5143492.32,12,60612
231436,-9762419.62,5148586.07,14,60647
1375502,-9760904.38,5160913.12,24,60645
2489304,-9773731.49,5130275.44,8,
788733,-9764341.94,5137899.08,10,60623
2122728,-9746730.12,5122419.25,4,60617
820120,-9761131.67,5139685.02,12,60608
315963,-9769338.76,5147023.27,25,60651
1736377,-9753045.94,5127620.81,3,60637
2360341,-9759873.99,5164261.64,24,60626
2256316,-9754068.66,5118151.31,5,60628
1741041,-9753671.87,5126494.12,3,60637
1328645,-9770269.63,5151769.06,25,
1707876,-9756852.6,5128520.01,7,60621
120438,-9757007.51,5144849.98,12,60642
428382,-9761287.5,5151209.34,14,60618
2220082,-9753149.28,5113589.77,3,60643
1440225,-9760945.12,5163342.92,24,60645
1546188,-9755218.51,5132821.73,9,60609
158451,-9760203.1,5146445.63,12,60622
693773,-9770149.56,5143438.94,15,60644
1496971,-9766138.98,5130347.43,8,60632
1956744,-9748285.35,5122752.58,18,60617
2428176,-9763989.45,5123160.9,8,60652
1958815,-9753552.12,5123218.51,6,60619
1057208,-9762053.42,5156410.93,20,60625
1125449,-9768920.32,5154951.08,16,60641
423903,-9760631.99,5151654.03,19,60618
980806,-9754614.63,5141919.31,1,60605
640499,-9765947.75,5141607.39,11,60624
471718,-9765331.1,5149419.86,25,60647
238326,-9763604.84,5149307.49,14,60647
627696,-9768830.33,5141823.09,15,60644
103278,-9756513.72,5143917.37,12,60661
183462,-9761367.08,5145781.03,12,60622
1837773,-9758489.81,5128046.13,7,
999396,-9755505.59,5138268.26,9,60616
1225227,-9772187.18,5157610.92,16,60630
1374137,-9761110.09,5160667.05,24,60645
1135826,-9769279.05,5157932.82,16,60630
1242100,-9774086.71,5160657.08,16,60631
1337759,-9773127.93,5152650.91,16,60634
1293410,-9777596.9,5152759.99,16,60634
833588,-9759325.09,5143232.62,12,60612
504954,-9764663.81,5152208.81,17,60618
537339,-9758638.76,5153907.39,19,60613
353743,-9765591.89,5143328.86,11,60624
457017,-9762360.62,5150270.9,14,60647
130481,-9759060.31,5145332.4,12,60642
647195,-9764421.48,5141064.57,11,60624
2018894,-9758852.58,5121048.37,22,60620
1025241,-9768874.38,5151258.37,25,60641
2394069,-9764523.49,5116766.13,22,60655
401425,-9759605.58,5150421.18,19,60614
1027862,-9768739.23,5151158.08,25,
2143511,-9752473.01,5119442.89,6,60619
2084602,-9746996.86,5123423.59,4,60617
977762,-9756325.62,5136377.98,9,60616
220683,-9763722.28,5147005.71,14,60617
1771247,-9754363.86,5125349.66,3,60621
2208276,-9754693.37,5116619.53,5,60628
1789773,-9757451.15,5123694.02,6,60620
816074,-9760945.02,5140956.55,,60608
2310076,-9745599.35,5109843.91,4,60633
1340940,-9773799.94,5153021.69,16,60634
1466877,-9761393.2,5132252.2,9,60632
1629123,-9750803.91,5130224.64,2,60637
1072026,-9766156.64,5154227.14,17,60641
414195,-9758464.44,5151152.31,19,60657
2174082,-9757099.81,5117152.38,22,60643
661495,-9769918.47,5149835.18,25,60639
2468670,-9765325.44,5122448.7,8,60652
1023735,-9767459.93,5150737.04,25,60641
680509,-9769143.16,5143072.7,15,60628
1869610,-9764285.91,5127901.9,8,60629
2018374,-9758885.72,5120741.44,22,60620
1541673,-9755615.35,5134848.63,9,60609
837949,-9759663.3,5141402.15,12,60612
901583,-9759510.45,5135884.18,9,60608
2263330,-9748341.81,5118944.38,4,60617
411273,-9758123.05,5151503.97,19,60657
575250,-9760921.86,5155108.04,19,60618
832849,-9759232.05,5143378.09,12,
1055859,-9761616.46,5156678.3,,60625
2386843,-9761584.6,5114923.36,22,60655
2245354,-9747706.78,5116485.39,,60617
1392601,-9760288.99,5161158.48,24,60626
2226251,-9753553.93,5112066.16,5,60628
628114,-9769417.23,5141807.68,15,60644
1529838,-9762728.44,5131078.2,9,60632
1897554,-9753971.41,5124553.22,6,60619
1584398,-9753963.74,5133209.78,2,60653
1299,-9756298.95,5147439.76,18,60610
1525099,-9761249.4,5131067.42,9,60632
2165952,-9756256.57,5114191.46,22,60628
1016802,-9766876.99,5152739.83,17,60641
1700750,-9758786.63,5131506.17,9,60609
486122,-9766823.48,5150376.64,25,60639
293326,-9765343.19,5144750.93,11,60624
957648,-9763727.66,5133071.04,8,60632
2018287,-9759147.62,5121378.59,22,60620
2399712,-9764689.84,5115670.22,22,60655
2067982,-9747025.79,5125065.15,3,60649
2030890,-9758150.16,5119762.97,22,60620
1298877,-9762755.45,5158711.72,20,60659
2116355,-9747403.54,5121599.14,4,60617
1250552,-9770743.35,5154822.82,16,60634
1838513,-9758611.32,5127160.9,7,60636
269281,-9767284.15,5147449.73,25,60651
589520,-9759280.74,5157278.42,20,60640
2426372,-9764532.5,5123116.51,8,60652
1687468,-9757548.82,5129340.42,7,60621
602091,-9771796.23,5147706.49,25,60639
741394,-9763151.44,5139354.23,31,60623
204380,-9762961.07,5143309.8,12,60612
325380,-9769998.27,5147537.08,25,60639
474756,-9765073.34,5149684.27,25,60647
2047351,-9759936.31,5118987.26,22,60643
2538881,-9761606.51,5127137.01,8,60629
2425049,-9763826.63,5123465.41,8,60652
1110098,-9763438.82,5154601.84,17,60618
156345,-9760699.08,5146246.2,12,60622
2279049,-9756726.54,5113693.54,5,60643
1693414,-9758227.38,5129337.1,7,60636
812055,-9764830.89,5137688.16,10,60623
2263790,-9748588.3,5118524.32,4,60617
507034,-9764854.21,5151858.91,25,60618
723469,-9763619.68,5141541.64,11,60624
1641400,-9754875.27,5129918.64,2,60621
1952044,-9748645.4,5123560.57,4,
629666,-9770127.85,5140879.56,15,
2090561,-9746395.44,5123887.81,4,60617
2232819,-9753371.59,5116429.79,5,60628
618691,-9768363.19,5144624.51,15,60644
1644844,-9755792.49,5128940.41,,60621
627807,-9769069.09,5141857.59,11,60644
543131,-9758587.87,5153496.25,19,60613
2204810,-9754206.96,5115805.02,5,60628
1016622,-9766876.55,5152068.45,17,60641
1407650,-9758590.72,5159716.79,24,60660
127134,-9759410.7,5146424.18,12,60622
2496349,-9771525.75,5128837.48,20,60638
417488,-9758740.88,5151397.11,19,60657
2103061,-9751440.66,5120149.42,4,60619
2373140,-9759136.82,5117147.44,22,60643
280854,-9765804.08,5148386.9,,60639
877747,-9758937.51,5138964.96,12,60608
1959693,-9753309.83,5121873.73,6,60619
2275603,-9757541.74,5113883.29,5,60643
2117851,-9746479.57,5119116.17,4,60617
171453,-9760246.79,5145126.53,12,60612
1223746,-9772235.35,5157773.6,16,60630
818428,-9758120.61,5140153.41,12,60608
1102293,-9765963.86,5153355.78,17,60641
1101530,-9763681.46,5156815.95,17,60625
2086965,-9746054.41,5124064.88,4,60649
479272,-9764897.63,5151011.01,,60618
879414,-9759558.22,5139036.92,12,60608
795966,-9763290.37,5138177.28,10,60623
1883959,-9753831.09,5125436.79,3,60619
1909447,-9750416.65,5126024.88,3,60637
497902,-9764636.71,5151763.84,14,60618
2486213,-9772750.95,5129916.5,8,60638
478848,-9764836.43,5151323.36,25,
521492,-9757183.38,5152077.73,19,60610
59511,-9754536.76,5145803.34,18,60611
1035814,-9767867.57,5151837.97,17,60641
1867408,-9764452.62,5128787.6,8,60629
2003490,-9758116.77,5118950.15,22,60643
2233979,-9752978.7,5116163.7,5,60628
2194790,-9758111.87,5114846.96,22,60630
1211035,-9763976.86,5159056.48,17,60659
647774,-9765254.48,5141159.42,11,60624
2223972,-9753954.29,5112584.95,5,60628
1860023,-9760655.28,5126144.71,8,60654
1747572,-9752917.8,5128598.82,3,60637
556856,-9757097.1,5153849.19,19,60613
680135,-9769275.25,5143118.39,15,60644
1284166,-9775759.31,5158992.92,16,60631
1869446,-9764315.89,5127938.84,8,60629
547382,-9761008.05,5153852.15,18,60618
956104,-9763231.85,5132812.63,8,60632
25033,-9757258.95,5148152.83,18,60614
1898345,-9753619.19,5124429.52,6,60619
1927475,-9750672.39,5122718.11,4,60619
2109148,-9748445.48,5119950.55,4,60617
352094,-9767199.06,5143711.9,11,60644
1831160,-9761476.27,5128875.11,8,60629
177690,-9760233.59,5144014.74,12,
2073810,-9747845.81,5124161.06,4,60649
182801,-9761437.43,5145763.71,12,60622
870732,-9758665.63,5139826.6,12,60608
1289739,-9778030.06,5158498.26,16,60631
2041260,-9762884.21,5121909.48,8,60652
672817,-9772129.76,5150270.32,25,60827
1866077,-9765072.08,5129005.97,8,
1409443,-9758510.66,5160684.96,24,60612
671944,-9771946.99,5150218.21,25,60639
1107021,-9762544.24,5153123.15,17,60618
2327727,-9744547.22,5117478.29,4,60617
581288,-9760304.59,5157082.96,20,60640
2375537,-9761086.13,5117791.93,22,60655
931848,-9757413.08,5134233.33,9,
927487,-9757786.42,5133458.87,9,60609
1622394,-9751180.96,5130792.22,2,60615
2242287,-9752322.01,5114804.33,5,60628
1491234,-9767494.46,5130732.79,8,60632
138539,-9757232.44,5143487.72,,60607
2107085,-9749285.18,5120470.61,4,60617
1618014,-9749885.18,5131269.22,7,60615
1957686,-9753559.75,5123542.29,6,60619
1066438,-9764932.0,5153828.86,17,60618
257915,-9765000.77,5146145.15,11,60651
1884420,-9753475.0,5124869.98,3,60619
458023,-9761960.09,5150275.7,14,60647
2172220,-9756851.75,5115222.1,22,60643
626292,-9767581.05,5141596.64,11,60644
1682166,-9756903.28,5131163.98,9,60609
2221176,-9753713.07,5112879.08,5,60628
308586,-9768854.18,5146349.31,15,60651
262186,-9765332.25,5145759.11,11,60651
732722,-9762645.26,5141226.95,11,60612
2432287,-9765097.37,5121480.69,8,60652
1440056,-9760871.43,5162960.39,24,60645
1010845,-9755224.45,5137234.2,9,60616
944778,-9763753.41,5134517.93,9,60632
828648,-9761401.9,5138275.46,10,
2417547,-9763878.51,5124476.68,8,
2407003,-9763673.59,5113279.99,22,60655
2110566,-9748358.52,5120019.2,4,60617
1651042,-9751753.0,5130030.29,2,60637
855847,-9756367.4,5141822.04,1,60607
1481479,-9765562.31,5133330.6,8,60632
2245541,-9747495.0,5117020.45,4,60617
1020289,-9766223.23,5152815.48,8,60641
1507253,-9761083.84,5132362.38,17,60632
883224,-9756198.19,5139066.53,12,60616
882190,-9758373.6,5138602.16,12,60610
1823978,-9760244.99,5125806.96,7,60636
1342426,-9773813.64,5152928.76,16,60634
2364747,-9759307.65,5163395.32,24,60626
436496,-9762138.13,5153029.36,19,60618
2157384,-9755140.71,5119338.64,5,60628
1805504,-9759619.72,5130033.18,7,60636
918154,-9760523.73,5136141.64,9,60608
211654,-9763805.75,5144139.13,,60624
873295,-9758786.89,5139840.68,12,60608
1665039,-9748222.38,5126855.8,,60649
1048993,-9762237.94,5155840.69,19,60625
228455,-9762150.79,5148010.68,14,
376080,-9760921.57,5148126.35,14,60647
2307034,-9747295.48,5119176.91,7,60637
1050319,-9761888.25,5156077.6,,60625
175371,-9763464.62,5145307.17,11,60624
2144624,-9753661.6,5119945.1,6,60619
1299715,-9762769.49,5160340.89,24,60659
9855,-9754970.22,5148654.82,,60619
1863837,-9764864.34,5128976.57,8,60629
1344024,-9775133.39,5151691.23,,60707
1049651,-9761526.21,5156258.09,19,
2513088,-9772018.86,5127982.68,8,60638
1244979,-9773389.21,5160980.11,16,60631
2198350,-9758279.83,5117070.14,22,60643
48275,-9754478.19,5147309.21,18,60610
2170944,-9757460.83,5115411.46,22,60643
2482902,-9770188.57,5130263.71,8,60638
898698,-9762439.29,5137970.97,10,60623
543307,-9758453.14,5153508.74,19,60613
1083658,-9764551.03,5153329.25,17,60618
2152927,-9753548.69,5118463.34,5,60628
1866353,-9765112.26,5129242.61,8,60629
1137790,-9769591.63,5156301.59,16,60630
391500,-9758381.72,5149337.07,15,60614
1734643,-9752922.63,5127683.13,3,60637
101414,-9754851.59,5142951.62,1,60603
371948,-9764317.98,5142606.62,11,60624
1607689,-9753611.24,5136126.49,2,60616
19492,-9757406.33,5147618.7,18,60642
1537489,-9762962.43,5130072.41,8,60629
406657,-9756876.39,5151418.35,19,
682569,-9769792.91,5143960.56,15,60644
1244004,-9773268.47,5160288.23,16,60631
2222584,-9753875.34,5111804.61,5,60628
2402973,-9762694.54,5116046.44,22,60655
1619233,-9750989.44,5131312.68,2,60615
782240,-9766037.64,5138949.97,10,60623
2288960,-9760356.63,5114146.04,22,
1372855,-9761043.05,5160830.17,24,60645
1074532,-9763821.78,5154322.38,17,60618
1812211,-9759259.84,5127044.14,7,60636
2112697,-9746870.69,5120074.38,4,60617
454693,-9764305.88,5150774.24,14,60647
758368,-9764144.18,5139818.43,10,60623
1249969,-9771031.66,5154821.07,,60634
251370,-9762429.91,5149641.15,9,60647
626860,-9767392.71,5141989.93,11,60644
819315,-9759055.04,5139976.06,12,
89054,-9760175.51,5147518.16,14,60622
345371,-9768090.63,5143275.61,15,60644
365477,-9764942.83,5142052.33,11,60624
200703,-9762324.71,5143311.73,12,
1889539,-9753135.13,5124991.02,3,60619
757332,-9764117.76,5139544.98,10,60623
332912,-9768890.41,5149582.16,25,60639
2017693,-9758887.27,5121133.39,22,60620
1447223,-9758413.02,5157579.34,20,60640
238195,-9763753.38,5149617.24,14,60647
2520568,-9771740.27,5127415.94,8,60638
1667729,-9748543.6,5126128.86,3,60649
1004931,-9754026.61,5136269.63,31,60655
2047587,-9760162.73,5119080.7,22,60643
1796302,-9756231.11,5124377.24,6,60620
377153,-9760590.0,5148773.3,14,60647
518374,-9758501.99,5152357.9,,60657
382027,-9761292.15,5148940.5,14,60647
1239692,-9771335.18,5156150.4,16,60643
96179,-9755334.31,5142524.81,1,60605
658166,-9771873.84,5149301.27,25,60639
1914203,-9750324.75,5125877.52,3,60619
1868379,-9764322.23,5128337.29,8,60629
1116941,-9763180.57,5155449.93,17,60625
1001611,-9756067.0,5138534.86,9,60616
2305405,-9747399.58,5117364.42,4,60617
2128652,-9746115.29,5122805.41,4,60617
1237376,-9774315.47,5157410.44,,60656
1821950,-9760242.54,5125807.35,7,60636
1889811,-9752735.89,5125926.12,3,60619
1816812,-9759293.6,5128719.71,7,60606
556278,-9756944.14,5153106.84,19,60613
901276,-9759079.91,5136574.17,9,60608
1956253,-9747914.77,5122168.35,4,60617
2198007,-9758222.68,5117133.12,22,60643
707758,-9771348.92,5151519.81,25,60634
1742306,-9753678.34,5126996.83,3,60637
208887,-9762037.62,5141807.62,11,60612
934823,-9759488.58,5133197.72,9,60609
1466482,-9761657.43,5132628.39,9,60632
1622455,-9750680.71,5130484.44,2,60615
1975070,-9758767.51,5124507.99,6,60620
1742467,-9753830.09,5126112.47,3,
378780,-9760659.21,5149464.39,14,60647
957349,-9763982.56,5132555.51,8,60632
2253981,-9753814.5,5117754.54,5,60628
695473,-9773847.06,5147460.44,25,60707
2199063,-9753032.64,5114413.09,5,60628
1956120,-9747911.82,5122233.78,4,60617
1154115,-9769675.24,5155976.8,16,
1533448,-9761653.9,5130058.84,8,60629
304275,-9766807.18,5148905.14,25,60639
758170,-9764136.07,5139609.76,10,60661
1406129,-9758848.77,5159707.93,24,60660
2443411,-9767333.58,5124154.16,,60652
686310,-9770990.21,5143034.57,15,60644
1347950,-9774630.9,5152157.68,16,60634
483342,-9766030.51,5151715.73,14,60641
572439,-9759976.26,5155277.55,19,60640
2344963,-9757718.49,5156989.8,20,60640
902692,-9759145.79,5136191.01,9,60608
71650,-9759401.21,5147580.19,14,60622
634682,-9768008.95,5142431.79,15,60644
1019597,-9766306.16,5152770.08,17,60641
768454,-9765640.14,5139958.87,10,60623
417527,-9759082.9,5151515.75,19,60657
147348,-9759621.11,5144805.24,12,60622
1935079,-9749933.07,5124098.29,4,60649
72179,-9759527.72,5147238.43,14,
1630336,-9750780.55,5129764.55,2,60637
1107871,-9763201.29,5153174.21,7,60618
698634,-9773408.76,5148240.58,25,60707
771228,-9762848.42,5139319.51,10,60623
1936732,-9748937.23,5124237.38,4,60649
417647,-9758683.06,5151012.52,19,60657
2386735,-9761310.47,5115105.33,22,60655
1336046,-9773272.75,5152394.86,16,
705236,-9771836.39,5151586.52,25,60634
1122364,-9768587.24,5155776.91,16,60630
2005952,-9756364.1,5118472.09,22,60628
2098548,-9751740.18,5122870.33,18,60619
1249868,-9771049.92,5154957.58,16,60634
1097584,-9764203.16,5156235.03,17,60625
1001518,-9755016.22,5139253.15,9,60616
180459,-9760258.74,5143502.1,12,60612
75938,-9758724.88,5145871.37,12,60642
480656,-9764864.41,5150810.78,25,60618
531939,-9758990.6,5153436.14,19,60613
1554193,-9759628.03,5132201.44,9,60609
1089654,-9764702.11,5155560.5,17,
267169,-9766586.85,5147156.26,25,60651
1324808,-9772100.68,5152132.84,16,60634
2038310,-9759890.36,5120249.99,22,60620
2476686,-9766091.57,5121556.87,8,60652
1348998,-9784761.81,5157528.83,16,60666
2239038,-9751910.36,5116975.17,5,60628
312733,-9768275.51,5147564.47,17,60639
698777,-9773271.34,5148071.8,25,60707
1814808,-9760131.94,5127956.92,7,60646
1213390,-9763325.43,5156787.12,17,60625
72705,-9759637.13,5147234.56,14,60622
1303539,-9763753.28,5160604.95,24,60645
633116,-9767209.35,5142691.94,11,60624
148647,-9759621.2,5143628.03,12,
991308,-9754607.21,5140159.12,1,60642
1193435,-9764405.93,5157352.56,17,60625
1445403,-9758960.89,5158255.68,20,60640
1479663,-9764675.69,5132123.3,,60632
