id,x,y,pd,ward,zipcode,beat,ct
54,-9765648.3,5128062.95,8,23,60629,0813,6502
55,-9758232.88,5161673.66,24,49,60626,2432,104
56,-9760205.96,5146568.44,14,1,60622,1424,2414
57,-9772858.91,5159353.35,16,41,60631,1611,1002
58,-9765050.05,5144754.86,11,27,60624,1122,2315
59,-9751057.47,5126480.56,3,5,60637,0321,8418
60,-9763900.19,5129872.25,8,,,0822,6309
61,-9754650.16,5141018.42,1,3,60605,0131,3302
62,-9757387.09,5141837.74,12,11,60607,1232,8333
63,-9748060.36,5123513.28,4,3,60621,0414,4605
64,-9766104.5,5143037.89,11,28,60624,1115,2607
65,-9769480.13,5147992.87,22,8,60639,2532,2503
66,-9762789.86,5127545.63,8,17,60632,0823,6606
67,-9753738.93,5116668.72,5,41,60628,,4909.02
68,-9765473.59,5141210.2,11,24,60624,1132,
69,-9764987.09,5145310.26,11,27,60624,1112,2315
70,-9757001.23,5129232.03,7,16,60621,0712,8347
71,-9766690.38,5152532.45,17,,60641,1731,1612
72,-9768219.39,5142529.19,15,,60644,1533,2522.01
73,-9759804.84,5132584.42,,15,60609,0924,6103
74,-9764704.24,5140091.01,10,24,60623,1014,8387
75,-9776049.07,5163266.01,16,41,60631,1611,901
76,-9769561.97,5147711.51,25,37,60639,2532,2503
77,-9749546.15,5123743.16,4,8,60617,0414,4605
78,-9764347.45,5138213.8,10,22,60623,1024,3007
79,-9757963.96,5144936.38,12,27,60642,1214,2435
80,-9766331.45,5121747.28,8,18,,0834,7003.02
81,-9769421.71,5153298.29,16,38,60641,1634,2411
82,-9757603.88,5125477.58,7,,60621,0733,6814
83,-9751649.44,5122718.5,6,8,60619,0631,4401.02
84,-9761032.78,5140962.84,12,28,60608,1233,8429
85,-9756093.04,5116199.29,22,34,60628,2233,4911
86,-9758073.69,5155346.48,19,46,60640,1913,8307
87,-9764399.48,5152985.39,17,35,60618,1732,1608
88,-9756296.2,5142952.39,1,42,60661,0121,2819
89,-9768200.89,5155367.76,16,45,60630,1623,1502
90,-9763319.37,5153900.57,17,33,60618,1733,1607
91,-9763237.51,5145877.72,12,26,60622,1211,8366
92,-9766607.14,5145826.14,11,37,60651,1111,8421
93,-9757052.29,5123272.37,6,,60620,0612,
94,-9773486.17,5130534.06,8,23,60638,0811,5609
95,-9750424.27,5126797.44,3,5,60637,0332,4303
96,-9760503.08,5135216.47,9,12,60609,0912,5905
97,-9756913.05,5145108.19,12,27,60642,0434,2435
98,-9774829.91,5158058.97,16,41,60656,1613,1005
99,-9761355.57,5152872.26,19,47,60618,1921,509
100,-9750826.07,5132242.12,2,4,60615,0222,3906
101,-9765932.72,5147097.89,22,26,60651,2534,2306
102,-9762975.2,5155262.93,17,33,60625,1724,4607
103,-9762415.13,5135338.07,9,12,60632,0911,5802
104,-9762862.32,5130642.63,9,14,,0923,6304
105,-9753984.94,5112495.74,5,9,60628,0532,5306
106,-9769188.08,5144897.78,15,37,60644,1524,2515
107,-9754929.94,5138983.0,1,3,60616,0131,3302
108,-9770074.46,5150578.96,25,30,60639,2514,1907.01
109,-9755876.59,5115414.57,22,34,60628,,4911
110,-9762065.22,5125097.43,8,18,60629,0835,6611
111,-9760399.97,5156938.46,20,40,,2032,404.02
112,-9766160.62,5130042.06,8,23,60632,0815,
113,-9761465.51,5146739.04,16,26,60622,1423,2411
114,-9758147.69,5124974.99,6,17,60636,0734,6719
115,-9764044.24,5143835.57,11,8,60624,1123,8368
116,-9762863.21,5133357.11,9,15,,0922,5805.02
117,-9752412.93,5131400.4,,4,60615,0233,8361
118,-9755527.49,5137210.6,9,,60616,,3403
119,-9759487.35,5152114.49,19,,60657,1922,625
120,-9764219.42,5143043.18,11,28,,1123,2714
121,-9765289.46,5137143.59,,,,1031,3017.01
122,-9756224.42,5117707.59,,34,60628,2232,
123,-9767951.25,5144598.43,15,14,60644,1532,2517
124,-9760011.91,5138780.11,10,25,60608,1034,8432
125,-9748242.8,5127012.97,3,14,60649,0331,8439
126,-9763367.11,5149857.35,14,18,60647,1414,2205
127,-9760597.42,5127380.55,8,16,60636,0832,6607
128,-9756165.26,5128444.36,7,16,60621,0711,8348
129,-9761544.7,5156573.79,20,40,60625,2031,402.01
130,-9767491.3,5153176.31,17,30,60641,1731,8317
131,-9763418.72,5144165.73,12,,60612,1222,8371
132,-9758198.45,5153504.23,19,44,60613,1923,612
133,-9766316.36,5121790.61,8,47,60652,0834,7003.02
134,-9758553.18,5163087.99,24,49,60637,2423,103
135,-9762301.62,5128832.03,8,16,60629,0824,6603.02
136,-9760449.69,5126471.65,8,23,60636,1812,6607
137,-9760068.97,5135881.88,9,12,60608,,8403
138,-9769621.59,5146442.63,25,37,60651,2532,2507
139,-9769206.6,5154257.62,16,38,60641,1624,1503
140,-9761666.95,5156441.2,20,40,60625,2031,402.01
141,-9755963.58,5117865.62,22,9,60633,2232,7305
142,-9755547.15,5128222.03,7,20,60621,0711,8346
143,-9757341.72,5139610.24,,25,60608,1235,3104
144,-9762114.05,5147665.32,14,1,60647,1421,2407
145,-9754646.29,5126051.24,7,6,60621,0731,6903
146,-9760379.96,5149616.36,14,32,60647,1432,8322
147,-9750260.12,5121278.88,4,8,60619,0412,4802
148,-9754403.61,5130267.21,2,3,60615,0225,4003
149,-9754081.87,5139223.39,1,3,60616,0132,3301
150,-9760882.18,5148740.32,14,25,60647,1432,2216
151,-9758195.43,5129626.14,7,16,60636,0713,6701
152,-9767128.95,5132886.77,8,22,60632,,5601
153,-9758918.32,5123121.34,1,21,60620,0611,7105
154,-9766221.97,5130128.08,8,23,60632,0815,6202
155,-9755612.47,5133896.44,9,11,60609,0925,8426
156,-9759347.95,5163713.84,24,49,60626,2422,103
157,-9757552.53,5123647.97,,17,60620,0612,7108
158,-9767566.7,5142691.95,11,28,60644,1113,2229
159,-9764029.61,5154755.36,2,33,60618,1212,1605.01
160,-9765039.64,5137702.9,10,22,60623,1013,3005
161,-9752034.13,5123265.22,6,8,60619,0631,4401.01
162,-9762096.53,5156452.68,20,40,60625,2031,402.01
163,-9775828.2,5158849.17,16,41,60631,1612,1004
164,-9755866.57,5112378.68,5,34,60628,0523,5305.01
165,-9761559.2,5147916.32,14,1,60647,0321,2406
166,-9756984.86,5145470.13,12,27,60642,1214,2435
167,-9757889.8,5154646.1,19,46,60613,1915,8307
168,-9763207.64,5154746.77,17,33,60618,1724,1606.01
169,-9760012.8,5147399.56,14,1,60622,1424,2415
170,-9750675.52,5122891.0,4,8,60619,0411,8343
171,-9760013.46,5156064.19,19,47,60640,1912,8308
172,-9761990.84,5143656.41,12,27,60612,1222,8371
173,-9754878.69,5113416.22,5,34,60628,0522,5302
174,-9760831.54,5137240.65,10,25,60608,1034,8413
175,-9748049.59,5126434.11,3,5,60649,0331,
176,-9756387.46,5141479.15,1,25,60607,0124,8419
177,-9770457.88,5128833.37,8,23,60638,0811,6403
178,-9758694.7,5147348.49,14,2,60642,1433,2416
179,-9761064.94,5140869.4,12,28,60608,1233,8429
180,-9763969.44,5155435.65,17,33,60625,1724,1407.02
181,-9763244.78,5144148.15,12,,60612,1222,8371
182,-9752951.56,5114138.73,5,9,60628,0531,
183,-9755224.6,5142366.72,1,4,60605,0122,8391
184,-9764995.99,5115401.49,22,19,60655,2211,7403
185,-9748854.45,5119359.15,4,7,60617,0431,5103
186,-9756579.45,5148532.04,18,43,60620,1813,718
187,-9756593.56,5146563.01,18,27,60610,1822,8422
188,-9757290.24,5150111.86,19,43,60614,1935,703
189,-9757802.09,5131845.44,9,20,60609,0933,6111
190,-9756461.69,5132366.87,9,11,,0935,8438
191,-9760472.27,5146286.04,12,2,60622,1212,2423
192,-9764497.11,5141429.97,11,24,60624,1133,
193,-9755852.54,5120654.18,22,21,60620,2223,7115
194,-9763047.06,5138766.28,10,,60623,1033,3009
195,-9775703.69,5163160.05,16,41,60631,,901
196,-9760799.14,5143460.26,12,27,60612,1223,8378
197,-9766410.31,5148839.77,25,35,60639,2522,2004.02
198,-9761168.17,5127850.59,8,16,60629,0532,6606
199,-9759726.29,5131046.1,9,,60609,0932,6117
200,-9765611.47,5123384.05,8,18,60652,0834,7003.01
201,-9764092.65,5157417.77,17,39,60625,1712,8318
202,-9761343.96,5141713.68,11,28,60612,1135,2827
203,-9760755.37,5147621.81,14,32,60647,1732,
204,-9747713.0,5125738.9,3,7,60649,0334,4307
205,-9764698.29,5145769.53,11,27,60651,1112,2312
206,-9750193.08,5126965.02,3,5,60637,0332,4303
207,-9770184.02,5152325.69,,36,60634,1633,1512
208,-9754884.01,5125851.72,7,6,60621,0731,6911
209,-9756913.76,5131485.79,9,20,60609,0933,6110
210,-9753888.05,5143601.24,1,42,60602,0114,3201
211,-9754709.38,5140054.44,1,47,60605,0131,3302
212,-9762516.27,5134569.52,9,,60632,0911,5802
213,-9754434.0,5126959.21,3,6,60621,0322,6903
214,-9747665.91,5125024.63,3,7,60649,0334,4313.02
215,-9748776.44,5123731.05,4,8,60617,0414,4605
216,-9766449.07,5146212.48,11,37,60651,1111,8421
217,-9761115.64,5151933.55,19,32,60608,1921,510
218,-9763510.38,5124071.73,8,18,60652,0835,7001
219,-9761334.46,5142067.23,,28,60612,1135,2827
220,-9753646.47,5126062.2,3,6,60637,0322,6904
221,-9763468.11,5151942.61,17,33,60618,1733,2101
222,-9766081.65,5148612.53,25,35,60639,2525,2004.02
223,-9758809.77,5158989.26,4,48,60660,2013,305
224,-9763591.5,5123286.4,8,18,60652,0834,7004.01
225,-9761314.34,5156298.84,20,47,60625,2031,404.01
226,-9763303.15,5139507.41,10,24,60621,1022,8431
227,-9766496.1,5159341.5,10,39,60646,1711,1203
228,-9763545.4,5127491.5,8,23,60629,0823,8370
229,-9760620.67,5156309.09,20,28,60625,2032,404.02
230,-9760161.85,5130785.14,9,16,60609,0932,6116
231,-9760055.48,5155729.8,19,47,60640,1912,8308
232,-9756982.16,5125833.52,7,6,60621,2422,6814
233,-9769065.04,5144110.79,15,37,60644,1523,2519
234,-9758927.75,5136953.81,9,25,60608,0912,8432
235,-9757167.85,5130872.36,9,20,60609,0934,6120
236,-9753535.23,5129418.77,,20,60637,0232,4004
237,-9765855.13,5143389.4,11,28,60624,1114,8401
238,-9765167.4,5143466.99,11,28,60624,1122,2601
239,-9752450.95,5135356.95,14,4,60653,0212,8365
240,-9770103.09,5151056.77,25,31,60641,0726,1903
241,-9763707.83,5125328.65,8,17,60629,0831,6611
242,-9760322.06,5153331.6,19,47,60613,1922,506
243,-9764887.01,5134510.99,8,,60632,0821,5701
244,-9764207.19,5125695.22,8,13,60629,0833,6504
245,-9761787.74,5123619.72,25,18,60652,0835,7001
246,-9761242.01,5126620.45,8,17,60629,0832,6609
247,-9760525.25,5160694.13,24,50,60645,2412,205
248,-9764205.88,5137302.43,10,22,,1032,3016
249,-9763610.12,5128764.89,8,23,60629,0822,6604
250,-9754927.02,5126352.55,7,6,60621,0731,6903
251,-9747095.26,5117220.12,4,37,60617,0434,5102
252,-9758954.1,5126245.41,7,17,60636,0735,6715
253,-9751491.84,5127947.09,3,14,60637,0314,8344
254,-9762325.5,5125267.7,8,18,60629,0831,6611
255,-9750580.38,5130995.79,25,4,60615,0234,4108
256,-9762299.4,5142846.59,11,27,60612,1124,8374
257,-9769044.24,5152408.19,16,31,60641,1634,1511
258,-9757211.5,5132991.95,6,11,60609,0925,8426
259,-9762716.88,5130549.25,9,14,60632,1134,6304
260,-9757709.78,5121501.61,22,21,60620,2222,7111
261,-9760925.91,5141037.57,12,6,60612,1225,2828
262,-9774039.81,5150093.91,25,29,60707,2512,8316
263,-9771854.5,5150742.19,25,30,60634,2511,1904.01
264,-9760899.68,5140733.59,12,28,,1233,8429
265,-9751674.29,5127247.27,,5,60637,0321,8344
266,-9773881.17,5151949.12,16,36,60618,1632,1710
267,-9750660.43,5123701.92,4,8,60619,0411,8343
268,-9753009.27,5133961.61,2,4,60653,0214,
269,-9764328.91,5127884.44,8,23,60629,0823,6503.02
270,-9762465.76,5146448.01,12,26,60622,1211,2409
271,-9758013.87,5120559.09,22,21,,2222,7302.01
272,-9756719.5,5115349.09,22,34,60643,2234,7501
273,-9764181.98,5157868.93,17,39,60604,1712,8318
274,-9768069.43,5145089.51,15,,60644,1531,2517
275,-9765668.89,5151443.02,25,30,60618,2523,2105.01
276,-9766311.65,5144633.51,11,28,,1111,8421
277,-9759815.37,5121793.15,6,49,60620,0614,7112
278,-9757443.52,5155579.36,19,38,,1914,315.02
279,-9769388.44,5127645.33,8,,60638,0813,
280,-9769610.13,5152901.33,24,36,60641,1633,1507
281,-9763807.78,5160570.8,24,50,60659,2413,207.02
282,-9767095.99,5131268.5,8,14,,0815,5604
283,-9761295.44,5145901.78,12,26,60622,1212,2425
284,-9753227.06,5117134.08,5,9,60628,1533,5607
285,-9754649.84,5146112.15,18,42,60611,1833,812.01
286,-9762059.54,5136885.08,10,12,60608,1034,8435
287,-9762978.28,5123975.71,,3,60652,0835,7001
288,-9756534.59,5110368.96,,34,60643,,5305.03
289,-9757913.4,5128938.17,7,16,60636,0713,6709
290,-9757311.27,5150194.0,19,,60614,1935,
291,-9743848.98,5117285.41,,10,60617,0432,5204
292,-9765679.6,5139281.24,10,24,60623,1012,2925
293,-9762080.2,5150188.62,14,32,60647,1431,2203
294,-9754097.76,5113644.97,5,9,60628,0532,5301
295,-9753539.41,5136244.81,,4,60616,0211,8395
296,-9766344.68,5148104.05,25,35,60639,2534,3906
297,-9754523.9,5113288.69,31,34,60628,0522,
298,-9758953.56,5153088.36,19,44,60613,1922,604
299,-9762047.86,5138856.12,10,12,60608,1023,8407
300,-9754742.83,5112703.85,5,9,60628,0522,5305.01
301,-9759580.98,5143552.6,12,27,60612,1223,2804
302,-9761998.32,5159830.25,24,40,60659,2413,208.02
303,-9771984.83,5130924.55,8,14,60638,0811,5609
304,-9775903.15,5162914.51,16,42,60631,1611,901
305,-9753500.69,5129471.3,2,16,60637,0232,4004
306,-9762588.39,5156885.27,20,40,60625,2031,402.01
307,-9754188.11,5128788.38,3,20,60637,,4008
308,-9759399.57,5117985.7,22,19,60643,,7202
309,-9759302.07,5161381.54,24,49,60626,,8306
310,-9766300.51,5139978.79,10,24,60623,1012,2909
311,-9755405.45,5115292.66,22,34,60628,2233,4911
312,-9758652.14,5145977.67,12,2,60642,1213,2420
313,-9765085.1,5127313.2,8,13,60629,0833,6503.02
314,-9753669.1,5116743.44,5,9,60628,0512,4909.02
315,-9756477.37,5118264.28,22,34,60643,2232,7306
316,-9761171.32,5155118.44,19,47,60618,1911,502
317,-9756090.12,5124100.91,6,6,60620,0621,7101
318,-9773252.23,5151125.33,25,36,60634,2511,1801
319,-9756811.75,5130230.91,9,20,60609,0934,6121
320,-9769631.49,5143643.11,15,28,60644,,2519
321,-9749250.42,5121265.35,4,8,60617,,4801
322,-9760194.7,5127176.13,,16,60636,1832,6714
323,-9759679.84,5163385.01,24,49,60626,2422,102.02
324,-9755477.34,5147172.64,18,27,60610,1821,
325,-9755272.18,5144632.47,18,42,60654,1831,817
326,-9747167.48,5122316.24,4,7,60617,0423,4603.01
327,-9761351.72,5124925.3,8,18,,0835,6610
328,-9750636.78,5131237.42,,4,60615,0234,2226
329,-9758815.98,5131345.07,9,20,60609,,6113
330,-9759814.65,5127191.03,7,16,60636,0726,6714
331,-9748419.14,5126729.45,3,5,60649,0331,4301.01
332,-9756375.39,5150924.11,19,43,60614,1935,701.02
333,-9754265.98,5110854.77,5,9,60628,0523,
334,-9763202.23,5117061.04,11,19,60606,0124,7402
335,-9763679.7,5153027.74,17,2,60618,1733,1608
336,-9768928.84,5148502.16,25,36,,2533,1911
337,-9765993.03,5149198.89,25,35,60639,2525,2004.02
338,-9762995.51,5148820.51,14,32,60647,1414,2212
339,-9753736.51,5114868.87,5,9,60628,0531,4914
340,-9754058.36,5126644.99,3,6,60637,0322,6904
341,-9763673.77,5155346.52,17,,60625,1724,1407.02
342,-9759987.89,5146226.06,12,2,60622,1212,2422
343,-9768158.83,5144734.85,15,37,60644,1532,2516
344,-9754599.79,5138997.3,1,3,60616,0131,3301
345,-9774738.58,5160342.29,20,41,60631,1612,903
346,-9745867.99,5110032.79,4,10,60633,0433,5501
347,-9760368.1,5161763.87,24,49,60626,2432,8306
348,-9757449.96,5140547.54,12,11,60608,1232,2838
349,-9764362.37,5137561.76,,22,60623,1032,3016
350,-9745970.87,5110791.98,4,10,60633,0433,6608
351,-9768313.61,5156851.7,16,45,60630,1623,1204
352,-9762662.37,5159955.67,24,26,60659,,208.02
353,-9764498.23,5155194.01,17,35,60625,1723,1407.02
354,-9754921.07,5146411.07,18,2,60610,1824,811
355,-9761198.41,5142597.48,12,27,60612,,2809
356,-9771516.89,5159667.19,16,39,60646,1611,1001
357,-9765389.0,5128663.08,8,23,60629,0813,6502
358,-9762864.32,5128746.93,8,14,60607,0824,6603.02
359,-9755875.76,5152051.43,19,44,60602,,
360,-9750898.06,5109739.39,5,9,60827,0533,5401.02
361,-9757358.82,5139731.88,12,25,60608,1235,3104
362,-9765078.87,5153066.76,17,30,60618,1732,1609
363,-9751900.32,5125843.19,3,5,60619,0324,8418
364,-9764039.49,5147680.1,14,26,60647,1031,2302
365,-9768772.23,5130357.16,14,23,60638,0814,5607
366,-9760947.31,5128677.11,8,16,60629,0825,8350
367,-9755589.07,5117824.97,22,9,60628,,7305
368,-9755252.33,5130658.78,9,3,60609,0935,8356
369,-9757737.69,5114983.67,22,34,60643,2234,7501
370,-9756349.36,5143086.22,1,42,60661,0121,2819
371,-9777696.7,5157345.12,16,41,60656,1614,1005
372,-9761150.65,5127791.88,8,16,60629,1232,6606
373,-9768367.34,5150568.87,25,31,60639,2521,1908
374,-9755455.3,5121424.79,22,21,60620,2223,7115
375,-9765247.17,5140056.75,10,24,60623,1014,8387
376,-9770824.2,5147817.16,25,29,60639,2531,2504
377,-9756893.43,5124459.14,6,17,60620,0621,7102
378,-9762142.02,5128248.79,8,16,60629,0823,6603.02
379,-9760285.45,5160302.71,24,40,60660,2413,209.02
380,-9765356.79,5123470.65,8,18,60652,0834,7003.01
381,-9764724.34,5154318.07,17,45,60618,1723,1604
382,-9761392.18,5152830.19,19,47,,1921,509
383,-9758916.83,5113979.99,22,34,60643,2234,7505
384,-9770254.47,5151494.52,25,31,60634,2514,1904.02
385,-9754606.22,5143682.68,1,42,60602,0111,3201
386,-9753257.69,5108356.9,5,9,60827,0533,
387,-9770989.34,5143341.91,15,29,60644,1512,6302
388,-9773641.75,5130547.47,8,23,60638,0811,5609
389,-9752662.3,5128691.5,3,45,60637,0313,4205
390,-9766128.78,5142610.09,11,,60624,1115,
391,-9753383.9,5134612.62,2,3,,0214,3802
392,-9759768.72,5160666.76,24,40,60660,2433,303
393,-9750165.66,5123308.02,4,8,60619,0411,8343
394,-9763175.51,5127380.93,,17,60629,0823,1908
395,-9754802.0,5117068.41,5,34,,0512,4910
396,-9752038.3,5116863.28,5,9,60628,0512,5002
397,-9748263.43,5126312.72,3,,60649,0331,4301.02
398,-9775851.69,5152020.11,16,38,60634,1631,1707
399,-9773041.19,5158300.08,16,41,60656,1613,6915
400,-9762105.84,5122281.93,8,49,,0835,7005.02
401,-9764651.86,5138385.67,10,22,60623,1013,3006
402,-9765366.19,5123682.37,8,18,60652,0834,7002
403,-9763016.85,5150820.66,14,33,60618,1411,2107
404,-9764644.55,5160402.75,17,50,60659,1711,1301
405,-9770909.44,5150688.59,16,,60634,,3515
406,-9763598.0,5127061.94,8,19,60629,0831,6605
407,-9759166.27,5128489.5,7,15,60636,0714,6707
408,-9766341.89,5153636.36,17,45,60641,1731,1610
409,-9763397.52,5155998.03,17,33,60625,1713,1408
410,-9756298.71,5123175.34,6,21,60620,,7109
411,-9754255.28,5128745.08,3,20,60637,0311,4008
412,-9767016.99,5127743.46,8,13,60629,0813,6408
413,-9763385.85,5128312.81,8,23,60629,0815,6604
414,-9754542.63,5116681.22,5,34,60628,0512,4910
415,-9756014.44,5137636.77,9,11,60616,0914,8401
416,-9747439.3,5122614.47,4,7,,0423,4604
417,-9762502.39,5145972.59,12,26,60622,1211,2409
418,-9770281.98,5147492.17,25,29,60639,2531,2504
419,-9759654.86,5135627.31,9,50,60608,0912,8404
420,-9769755.74,5151243.35,25,31,60641,2514,1903
421,-9758713.56,5148561.99,18,2,60614,1811,8325
422,-9762340.19,5156467.33,20,40,60625,2031,402.01
423,-9762220.95,5157394.6,20,,60625,2011,
424,-9762261.37,5133787.55,9,12,,,5805.01
425,-9758181.78,5127916.41,,16,60636,0724,8349
426,-9765904.24,5139612.73,10,24,60623,1012,2925
427,-9763990.63,5132791.46,8,,60632,0821,622
428,-9758356.48,5125276.24,7,17,60636,0734,6719
429,-9750793.45,5119201.2,5,8,60628,0511,5001
430,-9752468.73,5123713.34,6,,60619,0624,4402.01
431,-9767537.3,5143509.49,11,4,60644,1113,2518
432,-9757911.78,5137161.11,9,11,60608,0913,6006
433,-9761032.47,5141159.13,12,28,60612,1225,2828
434,-9770879.9,5156723.72,16,45,60630,1622,1104
435,-9758878.26,5145820.19,12,1,60642,1213,2420
436,-9760681.69,5118170.28,22,19,60643,2213,7203
437,-9746550.05,5117100.2,4,10,60617,1532,5101
438,-9757649.19,5128587.8,4,,60621,0712,6806
439,-9754059.13,5128772.54,3,20,60637,0311,4008
440,-9770550.45,5153279.52,16,38,60634,1633,1506
441,-9758168.42,5145018.68,12,31,60642,1215,2434
442,-9755454.88,5155299.98,19,46,60640,1915,314
443,-9764669.51,5144540.18,11,27,60624,1122,2315
444,-9766559.5,5140939.09,11,24,60624,1131,8430
445,-9765407.66,5156461.41,,35,60625,1712,1403.01
446,-9763704.47,5141529.74,11,24,60624,1134,8373
447,-9747917.41,5122434.09,4,8,60617,0412,4605
448,-9763668.68,5145917.64,11,26,60827,1121,8366
449,-9769474.44,5147713.65,,37,60639,2532,2503
450,-9766130.32,5146943.3,25,26,60651,2534,2306
451,-9748191.05,5122861.79,4,8,60617,0414,4605
452,-9746029.55,5121873.06,4,10,60617,,4602
453,-9761269.18,5127648.36,8,16,60629,0825,6606
454,-9758270.22,5161794.87,24,49,60626,2432,104
455,-9760440.67,5152548.28,19,32,60618,1921,508
456,-9767746.81,5151247.7,25,31,60641,2521,1901
457,-9759157.38,5162770.8,,49,60626,2423,106
458,-9765429.65,5147972.24,25,26,60647,2535,2304
459,-9765054.17,5139413.02,,24,60623,1014,2924
460,-9761053.76,5154047.99,19,47,,1921,
461,-9753774.38,5133031.16,2,3,60653,0215,8358
462,-9760806.78,5116719.32,22,19,60655,2211,7205
463,-9771781.38,5162396.3,16,41,60646,1621,1201
464,-9752612.38,5133710.0,2,4,60653,0214,3801
465,-9756269.8,5113528.71,5,12,60628,0524,5302
466,-9751392.91,5125857.19,3,,60619,0324,8418
467,-9758738.0,5163394.12,24,49,60626,2422,103
468,-9751324.48,5133603.05,2,,60653,0214,8364
469,-9768048.38,5146513.05,25,37,60651,2533,8313
470,-9751841.39,5127160.49,3,5,60637,0321,4208
471,-9764069.57,5140378.65,10,24,60623,1021,2912
472,-9772170.53,5148722.6,25,29,60639,2512,1913.01
473,-9763504.9,5155320.51,17,33,60625,1724,1408
474,-9770174.72,5154502.04,16,38,60641,1624,1503
475,-9758219.57,5151850.71,19,32,60657,1933,628
476,-9757551.22,5121214.01,22,11,60620,2222,7114
477,-9763899.37,5139049.94,10,,60623,1024,8417
478,-9765812.75,5151569.38,25,28,60641,2523,2104
479,-9753605.1,5114439.92,,9,60628,0531,4914
480,-9759516.95,5132559.47,9,15,60609,0924,6103
481,-9759264.23,5145403.88,12,1,60622,1215,2432
482,-9750104.28,5126769.78,3,5,60637,0332,4303
483,-9767357.63,5155381.27,17,39,60630,1231,1601
484,-9759551.85,5129181.27,7,15,60636,0715,6704
485,-9753881.23,5136128.33,2,3,,0211,8395
486,-9764976.15,5129143.51,8,23,60629,0822,6204
487,-9757605.81,5146317.5,18,46,60642,1822,8422
488,-9773822.68,5157224.67,16,41,60656,1613,1007
489,-9758541.29,5131966.76,9,20,60609,0933,6112
490,-9752432.09,5126209.0,3,6,,0321,4212
491,-9760824.18,5116220.06,22,19,60655,2211,7205
492,-9768065.45,5147614.31,25,37,60639,2533,2502
493,-9747218.56,5115967.5,4,10,60617,,8388
494,-9754626.86,5119395.2,6,21,60620,0634,8340
495,-9762295.69,5141813.54,11,28,60612,1135,2718
496,-9760646.9,5150928.11,19,,60618,1931,514
497,-9766787.66,5152949.02,17,45,60641,1731,1611
498,-9769086.77,5148091.41,25,37,60639,2532,8358
499,-9765969.02,5137268.41,10,22,60623,1031,3018.03
500,-9759153.32,5151849.02,19,32,60657,1932,627
501,-9764580.44,5154705.95,17,35,,1723,1605.01
502,-9744399.64,5116720.05,4,10,60617,0432,
